occ,sum_weight_out,sum_weight_in,turnover_rate,occupation
9330,1,0,inf,Ship engineers
8440,1,0,inf,Fabric and apparel patternmakers
9260,3,0,inf,"Subway, streetcar, and other rail transportation workers"
3840,3,0,inf,Parking enforcement workers
9730,2,0,inf,Shuttle car operators
3750,2,0,inf,Fire inspectors
9560,5,0,inf,Hoist and winch operators
9520,17,2,8.5,"Dredge, excavating, and loading machine operators"
9420,6,1,6.0,Other transportation workers 
9350,63,11,5.7272727272727275,Parking lot attendants
9630,44,8,5.5,Machine feeders and offbearers
8130,5,1,5.0,Tool and die makers
9650,5,1,5.0,Pumping station operators
9640,264,55,4.8,"Packers and packagers, hand"
9360,95,22,4.318181818181818,Service station attendants
9310,4,1,4.0,Ship and boat captains and operators
7560,4,1,4.0,Riggers
9620,1248,343,3.638483965014577,"Laborers and freight, stock, and material movers, hand"
4820,50,14,3.5714285714285716,"Securities, commodities, and financial services sales agents"
9610,329,93,3.5376344086021505,Cleaners of vehicles and equipment
8640,7,2,3.5,"Chemical processing machine setters, operators, and tenders"
9000,65,19,3.4210526315789473,"Supervisors, transportation and material moving workers"
4830,10,3,3.3333333333333335,Travel agents
9130,533,164,3.25,Driver/sales workers and truck drivers
9750,16,5,3.2,"Material moving workers, all other"
9600,206,67,3.074626865671642,Industrial truck and tractor operators
9030,6,2,3.0,Aircraft pilots and flight engineers
9230,3,1,3.0,"Railroad brake, signal, and switch operators"
9140,51,18,2.8333333333333335,Taxi drivers and chauffeurs
9410,11,4,2.75,Transportation inspectors
4740,87,32,2.71875,Counter and rental clerks
8230,8,3,2.6666666666666665,Bookbinders and bindery workers
9720,45,17,2.6470588235294117,Refuse and recyclable material collectors
4920,57,22,2.590909090909091,Real estate brokers and sales agents
4940,298,117,2.547008547008547,Telemarketers
8460,5,2,2.5,"Textile, apparel, and furnishings workers, all other"
8930,5,2,2.5,"Paper goods machine setters, operators, and tenders"
7830,5,2,2.5,"Food and tobacco roasting, baking, and drying machine operators and tenders"
4850,153,64,2.390625,"Sales representatives, wholesale and manufacturing"
4760,1428,659,2.1669195751138086,Retail salespersons
7950,19,9,2.111111111111111,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
9150,21,10,2.1,"Motor vehicle operators, all other"
8630,4,2,2.0,Miscellaneous plant and system operators
9110,2,1,2.0,"Ambulance drivers and attendants, except emergency medical technicians"
9240,2,1,2.0,Railroad conductors and yardmasters
7740,4,2,2.0,Structural metal fabricators and fitters
8400,2,1,2.0,"Textile cutting machine setters, operators, and tenders"
8550,4,2,2.0,"Woodworkers, all other"
9120,40,20,2.0,Bus drivers
9740,2,1,2.0,"Tank car, truck, and ship loaders"
140,13,7,1.8571428571428572,Industrial production managers
4720,1643,887,1.8523111612175873,Cashiers
4700,436,241,1.8091286307053942,First-line supervisors/managers of retail sales workers
9510,16,9,1.7777777777777777,Crane and tower operators
8240,7,4,1.75,Job printers
5150,5,3,1.6666666666666667,Procurement clerks
8920,5,3,1.6666666666666667,"Molders, shapers, and casters, except metal and plastic"
8010,5,3,1.6666666666666667,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"
3820,5,3,1.6666666666666667,Detectives and criminal investigators
4750,29,18,1.6111111111111112,Parts salespersons
3950,87,55,1.5818181818181818,Lifeguards and other protective service workers
330,3,2,1.5,Gaming managers
4550,6,4,1.5,Transportation attendants
8610,3,2,1.5,Stationary engineers and boiler operators
9300,6,4,1.5,Sailors and marine oilers
8330,3,2,1.5,Shoe and leather workers and repairers
6500,3,2,1.5,Reinforcing iron and rebar workers
1900,3,2,1.5,Agricultural and food science technicians
3610,3,2,1.5,Occupational therapist assistants and aides
8900,3,2,1.5,Cooling and freezing equipment operators and tenders
7040,3,2,1.5,"Electric motor, power tool, and related repairers"
8350,3,2,1.5,"Tailors, dressmakers, and sewers"
5360,16,11,1.4545454545454546,"Human resources assistants, except payroll and timekeeping"
8250,13,9,1.4444444444444444,Prepress technicians and workers
7800,30,22,1.3636363636363635,Bakers
8620,4,3,1.3333333333333333,Water and liquid waste treatment plant and system operators
8730,4,3,1.3333333333333333,"Furnace, kiln, oven, drier, and kettle operators and tenders"
8830,32,24,1.3333333333333333,Photographic process workers and processing machine operators
3910,8,6,1.3333333333333333,Private detectives and investigators
7140,9,7,1.2857142857142858,Aircraft mechanics and service technicians
7920,9,7,1.2857142857142858,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
4620,157,124,1.2661290322580645,Recreation and fitness workers
