r_id,ageyrs,startingocc,startingsector,endingocc,endingsector,abswagech3,sectorchgto_mgmt,gender,Education at start,Education at end,Starting occupational cluster,Alternate starting occupational cluster,path
731032p,32.0,2910,Arts and Entertainment,340.0,Personal Service,0.32307625,0,F,1,1,All other,Arts and Entertainment,"2910, 340"
1522033p,26.0,2720,Arts and Entertainment,,Not Employed,,0,F,3,3,All other,Arts and Entertainment,"2720, 2200, 'Unemployed'"
2805030p,30.0,2910,Arts and Entertainment,2910.0,All other,0.13789177,0,M,1,1,All other,Arts and Entertainment,2910
303030p,30.0,2720,Arts and Entertainment,430.0,Mgmt/Biz/Financial,21.16724,1,M,3,3,All other,Arts and Entertainment,"2720, 430"
769035p,23.0,2630,Arts and Entertainment,4900.0,Sales,-3.137403,0,F,2,2,All other,Arts and Entertainment,"2630, 4900"
1981030p,33.0,2900,Arts and Entertainment,2900.0,All other,8.5224285,0,M,3,3,All other,Arts and Entertainment,2900
3466170p,31.0,2630,Arts and Entertainment,2630.0,All other,-3.1163387,0,F,3,3,All other,Arts and Entertainment,2630
1233030p,29.0,2720,Arts and Entertainment,2720.0,All other,-0.24906921,0,F,1,1,All other,Arts and Entertainment,2720
1739031p,24.0,2720,Arts and Entertainment,,Not Employed,,0,M,3,3,All other,Arts and Entertainment,"2720, 'Unemployed'"
5290031p,32.0,2910,Arts and Entertainment,2910.0,All other,-18.948786,0,M,3,3,All other,Arts and Entertainment,2910
630032p,23.0,2760,Arts and Entertainment,6100.0,All other,-35.159912,0,M,3,3,All other,Arts and Entertainment,"2760, 6100"
2503031p,31.0,2630,Arts and Entertainment,2630.0,All other,-3.191349,0,M,3,3,All other,Arts and Entertainment,2630
2032191p,29.0,6000,Agriculture,1610.0,Engineer/Sci/Arch,2.9872036,0,M,3,3,All other,Agriculture,"6000, 1610"
2615032p,32.0,210,Agriculture,210.0,All other,2.2044945,0,M,1,1,All other,Agriculture,210
5539032p,24.0,2630,Arts and Entertainment,1110.0,IT,-0.72904396,0,M,1,1,All other,Arts and Entertainment,"2630, 1110"
127033p,24.0,2720,Arts and Entertainment,2310.0,Educ/Legal/Social Services,-4.1198053,0,F,3,3,All other,Arts and Entertainment,"2720, 2310"
