weight,source,target
1,2910,340
1,2720,2200
3,2720,430
1,2630,4900
1,2760,6100
1,6000,1610
1,2630,1110
2,2720,2310
5,2720,3950
8,3950,2720
2,3950,2310
1,2920,2900
1,2800,20
1,2720,4320
1,2900,4710
8,2720,4620
1,2750,2050
1,2600,1000
1,1000,2900
1,2900,6940
1,6940,2900
1,2600,430
1,430,2630
4,2630,2600
1,200,4950
1,6120,4250
1,2900,2020
1,2020,2010
1,2920,2320
2,2630,50
1,2600,2920
2,210,200
2,210,6050
1,2910,10
1,2700,2740
1,2740,2700
1,2700,4900
1,4900,2740
1,2900,7420
1,200,210
1,2600,2630
1,2720,4240
1,4240,2720
1,2630,5700
2,5700,6320
1,2750,60
1,2630,40
1,2910,5300
1,2630,4430
1,4430,3400
1,2910,20
1,2750,5240
5,6260,220
2,6230,210
1,6350,9810
1,9810,6350
6,6260,6320
2,6260,9990
1,9990,6260
2,6230,4060
1,6230,9810
2,9810,6230
1,6260,1320
1,6260,600
1,6200,1740
2,6420,2000
1,6200,6600
1,6320,6200
1,6350,6050
1,6050,6350
6,6260,4220
1,6230,8220
2,6420,7620
1,7620,3410
3,6230,220
1,6220,8200
4,6230,6250
5,6250,6260
19,6260,4250
1,6260,4850
1,4850,1040
1,6660,1100
3,6230,4030
1,6240,1320
1,1320,1410
1,1410,1320
1,6200,9810
2,6350,6600
1,6520,6200
8,6230,6200
14,6200,6230
3,6260,4050
3,6200,9130
1,6320,6260
1,6500,6350
4,6260,6200
1,6420,7510
1,6200,6220
8,6260,4720
15,4720,6260
2,6320,220
1,220,6320
1,6440,6130
19,6260,6230
1,6200,9000
2,6350,7750
1,6760,4700
2,6230,6420
1,6350,6200
2,6240,4720
1,6230,9500
5,6260,6250
1,6230,2550
2,6440,4720
2,6420,8650
1,8650,8810
1,6200,1100
6,6420,4250
1,6350,3730
3,6200,220
2,4250,6510
1,6440,4050
4,6200,6260
2,6440,6230
5,6230,6440
1,6200,6350
1,6510,9630
1,9630,3650
1,3650,4110
1,6420,2750
1,6240,2040
1,6420,8810
1,6330,6200
2,220,6200
2,6260,6520
1,6520,6260
3,4250,6420
3,6420,9620
1,6230,1360
1,1360,6230
3,6330,6230
1,6200,6440
3,6510,6260
1,6330,8740
1,8740,6260
3,6260,4110
2,6260,6220
2,6220,6260
1,6350,1550
