weight,source,target
1,2910,340
1,2720,2200
8,2200,'Unemployed'
3,2720,430
1,2630,4900
16,2720,'Unemployed'
1,2760,6100
1,6000,1610
1,2630,1110
2,2720,2310
5,2720,3950
6,3950,2720
2,3950,2310
8,2750,'Unemployed'
6,'Unemployed',2750
1,2920,2900
1,2800,20
1,2720,4320
1,2900,4710
6,2720,4620
1,2750,2050
4,2600,'Unemployed'
2,2600,'Student'
8,'Student',1000
1,1000,2900
1,2900,6940
1,6940,2900
1,2600,430
1,430,2630
4,2760,'Unemployed'
4,'Unemployed',2760
4,2630,2600
1,200,'Unemployed'
7,'Unemployed',4950
12,4950,'Unemployed'
19,'Unemployed',2720
1,6120,4250
8,2900,'Unemployed'
13,'Unemployed',2020
1,2020,2010
1,2920,2320
2,2630,50
1,2600,2920
2,210,200
2,210,6050
1,2910,10
1,2700,2740
1,2740,2700
1,2700,4900
1,4900,2740
2,6000,'Unemployed'
1,2900,7420
1,200,210
3,'Unemployed',2600
18,'Unemployed',2630
31,2720,'Student'
28,'Student',2720
1,'Student',4240
1,4240,2720
1,2630,5700
2,5700,6320
1,2750,60
1,2630,40
741,'Student','Unemployed'
9,2630,'Unemployed'
3,2910,'Unemployed'
515,'Unemployed','Student'
14,'Unemployed',5300
1,2630,4430
1,4430,3400
1,2910,20
130,'Unemployed',5240
2,2800,'Unemployed'
4,6260,220
2,6230,210
1,6350,9810
2,9810,'Unemployed'
23,'Unemployed',6350
163,6260,'Unemployed'
11,'Unemployed',6320
11,6320,'Unemployed'
15,'Unemployed',9990
1,9990,6260
139,'Unemployed',6260
2,6300,'Unemployed'
2,6230,4060
1,6230,9810
2,9810,6230
1,6260,1320
1,6260,600
1,6200,1740
32,6420,'Unemployed'
38,'Unemployed',6420
2,6420,2000
1,6200,6600
1,6320,6200
5,6350,'Student'
18,'Student',6050
1,6050,6350
3,6260,4220
65,6230,'Unemployed'
73,'Unemployed',6230
1,6230,8220
24,6200,'Unemployed'
27,6440,'Unemployed'
24,'Unemployed',6440
6,'Unemployed',7620
1,7620,3410
2,6840,'Unemployed'
2,'Unemployed',6840
3,6230,220
1,6220,8200
2,8200,'Unemployed'
1,6230,6250
3,6250,6260
12,6260,4250
31,6260,'Student'
8,'Student',4850
1,4850,1040
1,6660,1100
58,'Unemployed',4030
1,6240,1320
