occ,license,isaprobsolv,isa2waycomm,isateach,isamgppl,isagrossmotor,isaequiprepmnt,isasensperc,isaquant,isafocattn,isaservpersd,isacreatvty,isafinemotor
2910,1,3.0599999,3.72,2.875,2.96,1.7922223,1.645,1.602,2.0,2.628,2.28,3.54,3.072
2700,0,2.9400001,3.9375,2.75,2.7533333,1.9033333,1.0,1.176,1.04,2.2739999,2.0925,3.1233332,1.8
2920,1,3.2375,3.59375,2.5325,2.8733335,1.5611112,1.96,1.4100001,1.98,2.9000001,2.12625,3.4549999,2.95
2630,1,3.4138095,3.8085713,2.7321429,3.1128571,1.5928572,1.4485714,1.2322857,2.4757142,2.6282856,2.4203572,3.8109527,2.7097144
2720,1,3.5155556,3.8749998,3.4166667,3.3066666,2.6066668,1.4322222,1.6333333,2.2477777,2.8986666,2.4266667,3.0033333,2.3079998
200,1,3.7516668,3.8641665,3.125,3.5422223,1.9259259,2.1383333,1.9086666,2.792222,2.7513332,2.3641665,3.0022223,2.8833332
2760,1,3.4116669,3.7956665,2.9959998,3.2344446,1.9405186,1.2597778,1.3446667,2.0164444,2.7642665,2.3085001,3.1982222,2.1801333
2600,1,3.2762501,3.4906249,2.4075,2.7925,1.5305556,1.6316665,1.0,2.3433332,2.4760001,2.1893749,3.8433332,3.0639999
2740,0,3.1341667,3.59375,3.155,3.1683333,3.6866667,1.0416667,1.5250001,1.71,2.51,2.2662501,3.335,2.0739999
6000,0,3.6412501,3.7906251,3.12375,3.6341667,2.2044444,2.3583336,2.112,2.7191668,3.0250001,2.3587499,2.9391665,3.0195003
210,1,3.7516668,3.8641665,3.125,3.5422223,1.9259259,2.1383333,1.9086666,2.792222,2.7513332,2.3641665,3.0022223,2.8833332
2800,1,3.115,4.21875,2.095,2.6683333,1.393889,1.5291667,1.561,1.8566667,2.7119999,2.2350001,2.875,2.276
2900,1,3.2958336,3.661875,2.7037501,2.9258332,1.5444444,2.3966665,1.3355,2.1541667,3.0489998,2.086875,2.9275,2.9805
2750,1,3.1354165,3.515625,2.7049999,2.9283335,1.5280557,1.1241667,1.2750001,1.8866667,2.925,2.1725001,3.1366668,2.2069998
2960,1,3.2454762,3.6507144,2.6792858,2.9157143,1.5846032,2.1645238,1.3948572,2.082381,2.9462857,2.1257143,3.1657143,2.9848571
6120,1,3.2266667,3.3425,2.8150001,2.9566667,2.541111,1.9333333,2.102,2.4566667,2.8,2.095,2.8366668,3.05
6020,1,3.0816667,2.97,2.0,2.4166667,2.3455555,1.5,1.526,2.2066667,2.424,1.845,2.1266665,2.776
6010,1,3.625,3.72,2.9400001,2.8733332,1.8055556,1.7066667,1.8,2.5,3.174,2.1275001,2.7066667,2.5999999
